player,elo_global,elo_clay,elo_hard,elo_grass
Eala A.,1572.2443113855868,1474.4982120854806,1511.684333336976,1544.2630322656019
Niemeier J.,1572.068600470063,1483.1107816768995,1497.066708071976,1554.8850217027928
Saville D.,1571.5481151246784,1498.570811984492,1567.3088306644229,1447.4637676503423
Zvonareva V.,1570.996779522195,1550.8351565008193,1546.899618252343,1590.9935819920795
Dolehide C.,1570.3913367965406,1518.1018935594795,1523.2546335928423,1469.1362021996022
Putintseva Y.,1569.2742284912727,1613.5139876893345,1570.2592803424393,1561.8461483573728
Szavay A.,1568.2672745144846,1657.5409021766063,1548.0038701867215,1502.2374673439979
Bondar A.,1567.9872440464312,1598.3223064050678,1428.0267249907058,1413.362280206509
Jacquemot E.,1566.5151541842824,1470.7557275521174,1516.616656390454,1486.3182478678784
Montgomery R.,1565.7264334867828,1506.4581051728992,1485.0833330168941,1549.0245682704035
Juvan K.,1565.4111904322474,1576.977866584209,1506.537052035561,1500.2134388123104
Peterson R.,1563.5208645437563,1477.9047024510398,1643.4710861657773,1381.4625774417825
Meusburger Y.,1563.2817547725779,1555.45249220471,1498.70535266753,1455.0782099174648
Teichmann J.,1561.718496557472,1579.9591704659067,1554.981377700368,1370.353714611718
Wang Q.,1561.204832513945,1510.7090680412628,1563.3578945637246,1444.2061640775282
Sugiyama A.,1560.8481423758205,1471.7328639843124,1569.0251713468592,1544.817007756303
Peng S.,1558.2205974676385,1537.6528924717177,1551.5767508228273,1564.4362606625343
Tagger L.,1557.8565459210552,1500.0,1551.1442724812143,1500.0
Zarazua R.,1557.246509166079,1429.9562678825284,1538.5950216751592,1495.3143213946153
Rakotomanga Rajaonah T.,1556.9094299666376,1495.7767060105596,1550.8321802066919,1500.0
Jozami B.,1555.5114376510699,1539.1833083284955,1500.0,1500.0
Ito A.,1555.3551380964802,1500.0,1545.40684499059,1469.3929854019452
Dulko G.,1554.6358263779416,1633.9068146356135,1503.0510936715518,1510.160769831449
Pera B.,1553.2965547255108,1614.4247154721181,1450.8107606254696,1435.6074335358496
Cetkovska P.,1551.125495121582,1552.9914435988096,1540.8601013879702,1499.4427906989804
Salkova D.,1549.9086871472991,1498.6238062215218,1542.7367439061597,1500.0
Tsurenko L.,1549.8902809713875,1608.5308500079818,1527.6734799498313,1578.9383398163595
Flipkens K.,1549.7722401495512,1457.3121197049168,1472.6969585705026,1613.6091315885485
Errani S.,1548.7989571866221,1505.301514522684,1512.1942064299478,1376.3392800161341
Martic P.,1548.6159694640974,1611.9741576697588,1528.0699108580989,1579.2129152347727
Rybarikova M.,1547.8246393139484,1451.5587608729036,1560.7366796136869,1600.3388144934263
Bogdan A.,1547.741838993841,1556.3685765498592,1485.5671946760615,1471.3211337683367
Allertova D.,1547.0415675657432,1455.667561644463,1557.4796750291973,1463.46564738447
Muguruza Blanco G.,1544.783234918252,1510.9400689538463,1558.5261465361934,1478.6616286513752
Hradecka L.,1543.8572653921408,1558.975679923519,1517.0245823555822,1365.5664921495227
Hunter S.,1543.6838709680735,1500.234713066963,1535.8953377883772,1464.88628405486
Pervak K.,1543.617591148711,1466.3419296972556,1549.481377605545,1519.7302507525246
Kovinic D.,1540.8726295113402,1571.5006304698857,1451.4467163306167,1360.6907440142493
Boskovic L.,1540.7134070738443,1524.6376291727913,1500.0,1500.0
Riera J.,1538.8868509509684,1529.3342422210085,1496.0091056709127,1477.471248765426
Diyas Z.,1538.5819979188996,1489.992982542292,1547.1397093852902,1516.3443721734893
Kulikova R.,1538.2249206161873,1474.298705465605,1505.6916023778933,1537.1117414185148
Hercog P.,1537.607366614677,1575.219325356117,1460.645717461685,1463.2149072414988
Tomova V.,1537.5081266150091,1454.7899811574466,1499.643464392929,1486.2305416582024
Morita A.,1537.0335375779302,1501.4854355896512,1532.5435696257239,1387.4991890512326
Zakharova A.,1536.8652477384617,1475.4690951175817,1494.556784942684,1540.633493267914
Stevanovic N.,1536.8650064131548,1492.9415605616036,1500.0,1547.3904929426715
Burrage J.,1536.5656000498657,1491.5083123491693,1501.1910539984967,1510.0848868273379
Stakusic M.,1535.8718462272702,1485.4375121200944,1551.4676003421869,1483.6285990125966
Abanda F.,1535.8447196651173,1505.0738465907386,1502.6624623687192,1500.600306836011
Bronzetti L.,1535.805582079595,1492.4972853589825,1533.0739859128603,1461.3347073248863
Liu C.,1535.2557946754966,1549.409248647977,1493.6514811785414,1444.998536938944
Schnyder P.,1534.909045472582,1526.2169640208745,1624.0509095724597,1455.4992086349594
Watson H.,1533.8560448551527,1457.5289683003477,1495.8523519578132,1485.631759295518
Bejlek S.,1532.907359652393,1516.8397933552314,1460.9452834830827,1500.0
Tan H.,1532.3950959401932,1478.1340140692453,1436.7283346160941,1580.890321801636
Ahn K.,1532.1451016604226,1485.2914347137676,1519.0429118311918,1489.727039182028
Dodin O.,1531.140135757894,1464.2010115411465,1522.377467617514,1402.7045061160634
Vinci R.,1530.8135574639277,1534.4485494239475,1541.9359552816497,1543.5951459021644
Stollar F.,1530.6245653030887,1519.7933535601733,1463.666176675861,1502.456038731709
Wang Xiy.,1530.3405208043541,1511.6707458812607,1493.4395239714001,1421.1654147505778
